HOMETEAM,AWAYTEAM,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV
Wolves,Liverpool,1,2,A,0,1,A,2,4,0,1,330800000,1190000000,12720000,46660000,25.4,27.9,1.8,2,5.75,3.8,1.61,M Oliver
West Ham,Liverpool,0,2,A,0,1,A,3,7,2,0,338750000,1190000000,14110000,46660000,28.7,27.9,1.57,2.37,8.5,5.5,1.33,J Moss
Leicester,Chelsea,2,2,D,0,0,D,4,6,2,2,505250000,844250000,19430000,32470000,26.7,26.3,1.72,2.1,2.5,3.6,2.7,L Mason
Bournemouth,Aston Villa,2,1,H,2,0,H,1,8,1,3,343750000,261900000,11460000,9700000,26,27,1.8,2,2.1,3.6,3.3,A Taylor
Crystal Palace,Sheffield United,0,1,A,0,0,D,9,5,3,2,232800000,119200000,9310000,4260000,28.8,28.3,2.62,1.5,3.1,3.1,2.5,A Madley
Liverpool,Southampton,4,0,H,0,0,D,6,11,0,2,1190000000,227000000,46660000,9870000,27.9,25.9,1.53,2.5,1.25,6,12,K Friend
Newcastle,Norwich,0,0,D,0,0,D,8,12,2,1,293830000,152350000,9180000,6350000,27.3,27.6,2,1.8,2.2,3.4,3.3,M Atkinson
Watford,Everton,2,3,A,2,2,D,4,4,2,2,234000000,480700000,7550000,19230000,27.6,27.3,2,1.8,2.75,3.3,2.62,C Pawson
West Ham,Brighton,3,3,D,2,0,H,4,6,1,1,338750000,214750000,14110000,8260000,28.7,27.8,1.9,1.9,2.6,3.3,2.75,M Oliver
Man United,Wolves,0,0,D,0,0,D,4,6,3,2,744250000,330800000,29770000,12720000,25.8,25.4,2.2,1.66,2.25,3.25,3.4,P Tierney
Burnley,Arsenal,0,0,D,0,0,D,5,7,1,3,192750000,682750000,8030000,27310000,29.1,25.1,1.9,1.9,3.6,3.6,2,C Kavanagh
Tottenham,Man City,2,0,H,0,0,D,2,6,2,3,977000000,1300000000,36190000,52190000,26.4,27.4,1.5,2.62,5.5,4.6,1.53,M Dean
Everton,Crystal Palace,3,1,H,1,0,H,4,6,0,1,480700000,232800000,19230000,9310000,27.3,28.8,2.1,1.72,1.61,3.8,6,D Coote
Brighton,Watford,1,1,D,0,1,A,3,2,2,2,214750000,234000000,8260000,7550000,27.8,27.6,2,1.8,2.1,3.4,3.6,K Friend
Sheffield United,Bournemouth,2,1,H,1,1,D,8,4,2,2,119200000,343750000,4260000,11460000,28.3,26,2.3,1.61,1.66,3.6,5.75,J Moss
Wolves,Leicester,0,0,D,0,0,D,7,0,2,2,330800000,505250000,12720000,19430000,25.4,26.7,2,1.8,2.5,3.3,2.87,M Dean
Southampton,Burnley,1,2,A,1,1,D,4,3,2,2,227000000,192750000,9870000,8030000,25.9,29.1,1.9,1.9,1.75,3.8,4.75,S Hooper
Norwich,Liverpool,0,1,A,0,0,D,2,7,1,2,152350000,1190000000,6350000,46660000,27.6,27.9,1.53,2.5,11,6.25,1.25,S Attwell
Aston Villa,Tottenham,2,3,A,1,2,A,12,7,2,0,261900000,977000000,9700000,36190000,27,26.4,1.72,2.1,4,3.8,1.85,M Atkinson
Arsenal,Newcastle,4,0,H,0,0,D,5,6,2,0,682750000,293830000,27310000,9180000,25.1,27.3,1.72,2.1,1.4,4.75,8,L Mason
Chelsea,Man United,0,2,A,0,1,A,9,8,4,3,844250000,744250000,32470000,29770000,26.3,25.8,1.9,1.9,1.85,3.5,4.5,A Taylor
Man City,West Ham,2,0,H,1,0,H,6,1,0,1,1300000000,338750000,52190000,14110000,27.4,28.7,1.22,4.33,1.12,9.5,17,K Friend
Chelsea,Tottenham,2,1,H,1,0,H,3,5,1,2,844250000,977000000,32470000,36190000,26.3,26.4,1.8,2,1.72,4,4.5,M Oliver
Burnley,Bournemouth,3,0,H,0,0,D,7,3,4,3,192750000,343750000,8030000,11460000,29.1,26,2.2,1.66,2.1,3.3,3.7,M Dean
Crystal Palace,Newcastle,1,0,H,1,0,H,7,5,2,6,232800000,293830000,9310000,9180000,28.8,27.3,2.5,1.53,1.95,3.4,4.2,P Bankes
Sheffield United,Brighton,1,1,D,1,1,D,12,2,0,2,119200000,214750000,4260000,8260000,28.3,27.8,2.2,1.66,1.95,3.4,4.2,G Scott
Southampton,Aston Villa,2,0,H,1,0,H,9,6,1,4,227000000,261900000,9870000,9700000,25.9,27,1.57,2.37,1.61,4.33,5,C Pawson
Leicester,Man City,0,1,A,0,0,D,3,7,0,0,505250000,1300000000,19430000,52190000,26.7,27.4,1.53,2.5,4.5,4.2,1.7,P Tierney
Man United,Watford,3,0,H,1,0,H,3,5,0,1,744250000,234000000,29770000,7550000,25.8,27.6,1.9,1.9,1.6,3.9,6,M Atkinson
Wolves,Norwich,3,0,H,2,0,H,4,1,2,3,330800000,152350000,12720000,6350000,25.4,27.6,1.9,1.9,1.5,4.2,7,C Kavanagh
Arsenal,Everton,3,2,H,2,2,D,6,3,0,4,682750000,480700000,27310000,19230000,25.1,27.3,1.72,2.1,2,3.6,3.7,S Attwell
Liverpool,West Ham,3,2,H,1,1,D,16,8,0,3,1190000000,338750000,46660000,14110000,27.9,28.7,1.36,3.2,1.16,8,15,J Moss
Norwich,Leicester,1,0,H,0,0,D,6,7,1,2,152350000,505250000,6350000,19430000,27.6,26.7,1.72,2.1,4.33,4.1,1.72,C Pawson
Brighton,Crystal Palace,0,1,A,0,0,D,8,7,1,1,214750000,232800000,8260000,9310000,27.8,28.8,2.3,1.61,2.05,3.25,3.9,M Atkinson
Bournemouth,Chelsea,2,2,D,0,1,A,4,14,2,2,343750000,844250000,11460000,32470000,26,26.3,1.8,2,4.75,3.8,1.72,A Marriner
Newcastle,Burnley,0,0,D,0,0,D,11,7,4,3,293830000,192750000,9180000,8030000,27.3,29.1,2.3,1.61,2.62,3.1,2.9,A Madley
West Ham,Southampton,3,1,H,2,1,H,4,9,1,1,338750000,227000000,14110000,9870000,28.7,25.9,1.72,2.1,2.65,3.6,2.5,A Taylor
Watford,Liverpool,3,0,H,0,0,D,3,5,0,0,234000000,1190000000,7550000,46660000,27.6,27.9,1.66,2.2,8,4.75,1.4,M Oliver
Everton,Man United,1,1,D,1,1,D,13,8,3,4,480700000,744250000,19230000,29770000,27.3,25.8,1.9,1.9,2.5,3.25,2.9,C Kavanagh
Tottenham,Wolves,2,3,A,2,1,H,4,5,3,2,977000000,330800000,36190000,12720000,26.4,25.4,2.2,1.66,2.45,3.2,3,S Attwell
