HOMETEAM,AWAYTEAM,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV
Crystal Palace,Man City,0,2,A,0,2,A,1,8,1,1,232800000,1300000000,9310000,52190000,28.8,27.4,1.44,2.75,12,7,1.22,A Taylor
Man United,Liverpool,1,1,D,1,0,H,3,1,0,1,744250000,1190000000,29770000,46660000,25.8,27.9,1.72,2.1,5.25,3.8,1.65,M Atkinson
Sheffield United,Arsenal,1,0,H,1,0,H,7,12,4,4,119200000,682750000,4260000,27310000,28.3,25.1,1.66,2.2,3.9,3.75,1.9,M Dean
Southampton,Leicester,0,9,A,0,5,A,2,7,0,0,227000000,505250000,9870000,19430000,25.9,26.7,2,1.8,3.1,3.4,2.3,A Marriner
Man City,Aston Villa,3,0,H,0,0,D,13,7,1,1,1300000000,261900000,52190000,9700000,27.4,27,1.22,4.33,1.08,11,26,G Scott
Brighton,Everton,3,2,H,1,1,D,0,5,2,1,214750000,480700000,8260000,19230000,27.8,27.3,2,1.8,2.9,3.25,2.5,A Madley
Watford,Bournemouth,0,0,D,0,0,D,5,10,5,3,234000000,343750000,7550000,11460000,27.6,26,1.66,2.2,2.15,3.6,3.25,M Dean
West Ham,Sheffield United,1,1,D,1,0,H,10,4,2,2,338750000,119200000,14110000,4260000,28.7,28.3,1.9,1.9,2.1,3.5,3.5,D Coote
Burnley,Chelsea,2,4,A,0,2,A,5,6,3,2,192750000,844250000,8030000,32470000,29.1,26.3,1.66,2.2,4.5,4,1.72,M Oliver
Newcastle,Wolves,1,1,D,1,0,H,3,6,2,2,293830000,330800000,9180000,12720000,27.3,25.4,2.5,1.53,3,3.1,2.55,K Friend
Arsenal,Crystal Palace,2,2,D,2,1,H,12,5,2,0,682750000,232800000,27310000,9310000,25.1,28.8,1.53,2.5,1.45,4.75,6.5,M Atkinson
Liverpool,Tottenham,2,1,H,0,1,A,8,3,3,3,1190000000,977000000,46660000,36190000,27.9,26.4,1.53,2.5,1.5,4.33,6.5,A Taylor
Norwich,Man United,1,3,A,0,2,A,1,10,2,2,152350000,744250000,6350000,29770000,27.6,25.8,1.66,2.2,4.33,4,1.75,S Attwell
Bournemouth,Man United,1,0,H,1,0,H,4,10,4,3,343750000,744250000,11460000,29770000,26,25.8,1.9,1.9,3.25,3.6,2.15,C Kavanagh
Arsenal,Wolves,1,1,D,1,0,H,8,9,0,2,682750000,330800000,27310000,12720000,25.1,25.4,1.72,2.1,1.75,3.75,4.75,M Oliver
Aston Villa,Liverpool,1,2,A,1,0,H,2,10,1,2,261900000,1190000000,9700000,46660000,27,27.9,1.44,2.75,9,5,1.33,J Moss
Brighton,Norwich,2,0,H,0,0,D,8,3,0,1,214750000,152350000,8260000,6350000,27.8,27.6,1.66,2.2,1.72,4.2,4.33,K Friend
Man City,Southampton,2,1,H,0,1,A,17,0,3,1,1300000000,227000000,52190000,9870000,27.4,25.9,1.22,4.33,1.07,13,23,L Mason
Sheffield United,Burnley,3,0,H,3,0,H,7,6,1,2,119200000,192750000,4260000,8030000,28.3,29.1,2.3,1.61,2.25,3.2,3.4,S Hooper
West Ham,Newcastle,2,3,A,0,2,A,7,3,2,1,338750000,293830000,14110000,9180000,28.7,27.3,1.8,2,1.75,3.8,4.5,S Attwell
Watford,Chelsea,1,2,A,0,1,A,1,6,4,2,234000000,844250000,7550000,32470000,27.6,26.3,1.61,2.3,5,4.33,1.61,A Taylor
Crystal Palace,Leicester,0,2,A,0,0,D,5,6,2,2,232800000,505250000,9310000,19430000,28.8,26.7,2,1.8,3.5,3.4,2.1,P Tierney
Everton,Tottenham,1,1,D,0,0,D,5,2,1,2,480700000,977000000,19230000,36190000,27.3,26.4,1.72,2.1,2.7,3.4,2.6,M Atkinson
Norwich,Watford,0,2,A,0,1,A,10,4,1,2,152350000,234000000,6350000,7550000,27.6,27.6,1.66,2.2,2.7,3.5,2.55,A Marriner
Chelsea,Crystal Palace,2,0,H,0,0,D,7,0,3,2,844250000,232800000,32470000,9310000,26.3,28.8,1.57,2.37,1.33,5,10,M Dean
Burnley,West Ham,3,0,H,2,0,H,11,4,2,1,192750000,338750000,8030000,14110000,29.1,28.7,1.66,2.2,2.25,3.5,3.1,K Friend
Newcastle,Bournemouth,2,1,H,1,1,D,5,4,2,0,293830000,343750000,9180000,11460000,27.3,26,2,1.8,2.55,3.25,2.8,M Atkinson
Southampton,Everton,1,2,A,0,1,A,5,9,1,1,227000000,480700000,9870000,19230000,25.9,27.3,1.9,1.9,2.9,3.3,2.45,P Tierney
Tottenham,Sheffield United,1,1,D,0,0,D,4,4,2,2,977000000,119200000,36190000,4260000,26.4,28.3,1.8,2,1.57,4,6,G Scott
Leicester,Arsenal,2,0,H,0,0,D,5,4,1,1,505250000,682750000,19430000,27310000,26.7,25.1,1.57,2.37,2,3.75,3.5,C Kavanagh
Man United,Brighton,3,1,H,2,0,H,5,2,2,5,744250000,214750000,29770000,8260000,25.8,27.8,2,1.8,1.6,3.75,6.5,J Moss
Wolves,Aston Villa,2,1,H,1,0,H,6,3,4,3,330800000,261900000,12720000,9700000,25.4,27,1.9,1.9,1.9,3.5,4.2,A Taylor
Liverpool,Man City,3,1,H,2,0,H,4,13,0,2,1190000000,1300000000,46660000,52190000,27.9,27.4,1.66,2.2,2.5,3.6,2.62,M Oliver
West Ham,Tottenham,2,3,A,0,2,A,3,7,3,2,338750000,977000000,14110000,36190000,28.7,26.4,1.53,2.5,4.2,4.33,1.7,M Oliver
Arsenal,Southampton,2,2,D,1,1,D,6,8,6,2,682750000,227000000,27310000,9870000,25.1,25.9,1.44,2.75,1.45,4.75,6.5,S Attwell
Bournemouth,Wolves,1,2,A,0,2,A,5,9,2,1,343750000,330800000,11460000,12720000,26,25.4,2,1.8,2.75,3.3,2.6,S Hooper
Brighton,Leicester,0,2,A,0,0,D,6,7,2,0,214750000,505250000,8260000,19430000,27.8,26.7,1.9,1.9,3.75,3.5,2,M Dean
Crystal Palace,Liverpool,1,2,A,0,0,D,9,8,0,1,232800000,1190000000,9310000,46660000,28.8,27.9,1.66,2.2,7.5,4.75,1.4,K Friend
Everton,Norwich,0,2,A,0,0,D,7,7,3,5,480700000,152350000,19230000,6350000,27.3,27.6,1.53,2.5,1.36,5.1,8,A Taylor
Watford,Burnley,0,3,A,0,0,D,7,5,0,3,234000000,192750000,7550000,8030000,27.6,29.1,2,1.8,2.3,3.4,3.1,P Tierney
Man City,Chelsea,2,1,H,2,1,H,8,2,1,1,1300000000,844250000,52190000,32470000,27.4,26.3,1.4,3,1.44,5,6.5,M Atkinson
Sheffield United,Man United,3,3,D,1,0,H,6,3,1,2,119200000,744250000,4260000,29770000,28.3,25.8,2.2,1.66,3.5,3.4,2.1,A Marriner
Aston Villa,Newcastle,2,0,H,2,0,H,11,6,1,1,261900000,293830000,9700000,9180000,27,27.3,1.9,1.9,2.05,3.4,3.7,L Mason
Newcastle,Man City,2,2,D,1,1,D,1,10,1,2,293830000,1300000000,9180000,52190000,27.3,27.4,1.44,2.75,13,8,1.16,C Kavanagh
Burnley,Crystal Palace,0,2,A,0,1,A,5,6,2,0,192750000,232800000,8030000,9310000,29.1,28.8,2.2,1.66,2.25,3.25,3.3,P Bankes
Chelsea,West Ham,0,1,A,0,0,D,9,3,0,3,844250000,338750000,32470000,14110000,26.3,28.7,1.4,3,1.28,6,9,J Moss
Liverpool,Brighton,2,1,H,2,0,H,4,5,0,0,1190000000,214750000,46660000,8260000,27.9,27.8,1.44,2.75,1.18,7,15,M Atkinson
Tottenham,Bournemouth,3,2,H,1,0,H,4,8,0,2,977000000,343750000,36190000,11460000,26.4,26,1.53,2.5,1.36,5.5,7.5,L Mason
Southampton,Watford,2,1,H,0,1,A,6,7,1,0,227000000,234000000,9870000,7550000,25.9,27.6,1.9,1.9,2.1,3.4,3.5,M Oliver
Norwich,Arsenal,2,2,D,2,1,H,7,12,2,1,152350000,682750000,6350000,27310000,27.6,25.1,1.4,3,4,4.33,1.75,P Tierney
Wolves,Sheffield United,1,1,D,0,1,A,7,2,1,4,330800000,119200000,12720000,4260000,25.4,28.3,2.3,1.61,1.9,3.5,4.2,D Coote
Leicester,Everton,2,1,H,0,1,A,4,4,0,1,505250000,480700000,19430000,19230000,26.7,27.3,1.8,2,1.61,4,5.25,G Scott
Man United,Aston Villa,2,2,D,1,1,D,9,9,4,1,744250000,261900000,29770000,9700000,25.8,27,1.72,2.1,1.45,4.5,7,C Pawson
Crystal Palace,Bournemouth,1,0,H,0,0,D,6,9,3,3,232800000,343750000,9310000,11460000,28.8,26,2,1.8,2.2,3.4,3.25,A Taylor
Burnley,Man City,1,4,A,0,1,A,3,6,1,1,192750000,1300000000,8030000,52190000,29.1,27.4,1.44,2.75,11,7,1.22,J Moss
Chelsea,Aston Villa,2,1,H,1,1,D,9,5,2,1,844250000,261900000,32470000,9700000,26.3,27,1.4,3,1.28,5.75,10,C Kavanagh
Leicester,Watford,2,0,H,0,0,D,7,2,3,2,505250000,234000000,19430000,7550000,26.7,27.6,1.61,2.3,1.33,5.5,8,C Pawson
Man United,Tottenham,2,1,H,1,1,D,4,3,0,1,744250000,977000000,29770000,36190000,25.8,26.4,1.8,2,2.75,3.4,2.55,P Tierney
Southampton,Norwich,2,1,H,2,0,H,6,1,1,1,227000000,152350000,9870000,6350000,25.9,27.6,1.57,2.37,1.72,4,4.2,K Friend
Wolves,West Ham,2,0,H,1,0,H,5,4,1,2,330800000,338750000,12720000,14110000,25.4,28.7,1.9,1.9,1.75,3.7,4.75,A Marriner
Liverpool,Everton,5,2,H,4,2,H,5,6,1,2,1190000000,480700000,46660000,19230000,27.9,27.3,1.57,2.37,1.36,5,8.5,M Dean
Sheffield United,Newcastle,0,2,A,0,1,A,8,1,2,0,119200000,293830000,4260000,9180000,28.3,27.3,2.3,1.61,1.83,3.4,4.6,S Attwell
Arsenal,Brighton,1,2,A,0,1,A,9,9,3,1,682750000,214750000,27310000,8260000,25.1,27.8,1.53,2.5,1.57,4.33,5.5,G Scott
Everton,Chelsea,3,1,H,1,0,H,1,5,3,0,480700000,844250000,19230000,32470000,27.3,26.3,1.72,2.1,3.5,3.75,2,C Pawson
Bournemouth,Liverpool,0,3,A,0,2,A,1,3,0,1,343750000,1190000000,11460000,46660000,26,27.9,1.5,2.62,7,5.25,1.4,C Kavanagh
Tottenham,Burnley,5,0,H,3,0,H,1,1,1,1,977000000,192750000,36190000,8030000,26.4,29.1,1.57,2.37,1.4,4.75,8,K Friend
Watford,Crystal Palace,0,0,D,0,0,D,6,2,4,2,234000000,232800000,7550000,9310000,27.6,28.8,2,1.8,2.37,3.3,3.1,M Atkinson
Man City,Man United,1,2,A,0,2,A,16,3,3,2,1300000000,744250000,52190000,29770000,27.4,25.8,1.5,2.62,1.3,5.5,10,A Taylor
Aston Villa,Leicester,1,4,A,1,2,A,8,5,6,2,261900000,505250000,9700000,19430000,27,26.7,1.61,2.3,4.33,3.8,1.8,M Oliver
Newcastle,Southampton,2,1,H,0,0,D,3,12,1,3,293830000,227000000,9180000,9870000,27.3,25.9,2.1,1.72,2.5,3.2,2.9,D Coote
Norwich,Sheffield United,1,2,A,1,0,H,9,1,0,4,152350000,119200000,6350000,4260000,27.6,28.3,1.8,2,2.9,3.5,2.37,S Hooper
Brighton,Wolves,2,2,D,2,2,D,3,4,3,0,214750000,330800000,8260000,12720000,27.8,25.4,2.3,1.61,2.62,3.1,2.87,J Moss
West Ham,Arsenal,1,3,A,1,0,H,4,3,2,0,338750000,682750000,14110000,27310000,28.7,25.1,1.44,2.75,3.3,4,2,M Dean
Liverpool,Watford,2,0,H,1,0,H,6,3,2,1,1190000000,234000000,46660000,7550000,27.9,27.6,1.4,3,1.16,7.5,17,A Marriner
Burnley,Newcastle,1,0,H,0,0,D,4,3,0,2,192750000,293830000,8030000,9180000,29.1,27.3,2.1,1.72,1.95,3.4,4,T Robinson
Chelsea,Bournemouth,0,1,A,0,0,D,9,4,1,2,844250000,343750000,32470000,11460000,26.3,26,1.4,3,1.25,6,12,G Scott
Leicester,Norwich,1,1,D,1,1,D,12,4,0,4,505250000,152350000,19430000,6350000,26.7,27.6,1.44,2.75,1.22,6.5,13,A Madley
Sheffield United,Aston Villa,2,0,H,0,0,D,3,2,2,2,119200000,261900000,4260000,9700000,28.3,27,1.8,2,1.85,3.75,4.2,P Bankes
Southampton,West Ham,0,1,A,0,1,A,5,8,1,3,227000000,338750000,9870000,14110000,25.9,28.7,1.61,2.3,1.9,3.8,3.8,M Atkinson
Man United,Everton,1,1,D,0,1,A,6,5,1,2,744250000,480700000,29770000,19230000,25.8,27.3,1.8,2,1.8,3.7,4.5,M Oliver
Wolves,Tottenham,1,2,A,0,1,A,11,2,4,4,330800000,977000000,12720000,36190000,25.4,26.4,1.9,1.9,3.25,3.4,2.25,S Attwell
Arsenal,Man City,0,3,A,0,3,A,3,3,1,4,682750000,1300000000,27310000,52190000,25.1,27.4,1.33,3.4,6,5.25,1.44,P Tierney
Crystal Palace,Brighton,1,1,D,0,0,D,3,7,1,1,232800000,214750000,9310000,8260000,28.8,27.8,2.2,1.66,2.55,3.25,2.87,C Pawson
Everton,Arsenal,0,0,D,0,0,D,5,4,2,3,480700000,682750000,19230000,27310000,27.3,25.1,1.57,2.37,2.3,3.8,2.87,K Friend
Aston Villa,Southampton,1,3,A,0,2,A,7,5,2,1,261900000,227000000,9700000,9870000,27,25.9,1.61,2.3,2.4,3.6,2.8,C Pawson
Bournemouth,Burnley,0,1,A,0,0,D,4,5,2,4,343750000,192750000,11460000,8030000,26,29.1,1.9,1.9,2.4,3.4,2.9,M Atkinson
Brighton,Sheffield United,0,1,A,0,1,A,4,3,1,3,214750000,119200000,8260000,4260000,27.8,28.3,2.1,1.72,2.2,3.25,3.5,R Jones
Newcastle,Crystal Palace,1,0,H,0,0,D,4,5,2,0,293830000,232800000,9180000,9310000,27.3,28.8,2.5,1.53,2.37,3.1,3.25,S Hooper
Norwich,Wolves,1,2,A,1,0,H,3,11,2,4,152350000,330800000,6350000,12720000,27.6,25.4,1.8,2,3.75,3.8,1.9,P Bankes
Man City,Leicester,3,1,H,2,1,H,6,1,2,2,1300000000,505250000,52190000,19430000,27.4,26.7,1.4,3,1.36,5.25,7.5,M Dean
Watford,Man United,2,0,H,0,0,D,3,5,3,1,234000000,744250000,7550000,29770000,27.6,25.8,1.9,1.9,4.33,4,1.75,L Mason
Tottenham,Chelsea,0,2,A,0,2,A,3,5,4,3,977000000,844250000,36190000,32470000,26.4,26.3,1.57,2.37,2.37,3.75,2.75,A Taylor
Tottenham,Brighton,2,1,H,0,1,A,9,2,4,2,977000000,214750000,36190000,8260000,26.4,27.8,1.61,2.3,1.53,4.33,6,G Scott
Aston Villa,Norwich,1,0,H,0,0,D,5,8,2,3,261900000,152350000,9700000,6350000,27,27.6,1.53,2.5,2.1,3.75,3.3,C Kavanagh
Bournemouth,Arsenal,1,1,D,1,0,H,8,3,4,4,343750000,682750000,11460000,27310000,26,25.1,1.57,2.37,3.5,3.9,1.95,S Attwell
Chelsea,Southampton,0,2,A,0,1,A,8,1,3,2,844250000,227000000,32470000,9870000,26.3,25.9,1.5,2.62,1.33,5.25,9,J Moss
Crystal Palace,West Ham,2,1,H,0,0,D,7,6,0,2,232800000,338750000,9310000,14110000,28.8,28.7,1.9,1.9,2.3,3.4,3.1,A Marriner
Everton,Burnley,1,0,H,0,0,D,10,2,0,0,480700000,192750000,19230000,8030000,27.3,29.1,1.9,1.9,1.7,3.75,5,A Taylor
Sheffield United,Watford,1,1,D,1,1,D,9,1,1,3,119200000,234000000,4260000,7550000,28.3,27.6,2.1,1.72,1.83,3.6,4.33,D Coote
Man United,Newcastle,4,1,H,3,1,H,5,0,2,2,744250000,293830000,29770000,9180000,25.8,27.3,1.72,2.1,1.33,5.25,9,K Friend
Leicester,Liverpool,0,4,A,0,1,A,2,8,1,1,505250000,1190000000,19430000,46660000,26.7,27.9,1.66,2.2,3.4,3.75,2.05,M Oliver
Wolves,Man City,3,2,H,0,1,A,3,1,0,1,330800000,1300000000,12720000,52190000,25.4,27.4,1.57,2.37,8.5,5,1.36,M Atkinson
Brighton,Bournemouth,2,0,H,1,0,H,9,2,0,2,214750000,343750000,8260000,11460000,27.8,26,1.9,1.9,1.75,3.9,4.33,P Tierney
Newcastle,Everton,1,2,A,0,1,A,5,8,2,2,293830000,480700000,9180000,19230000,27.3,27.3,2.1,1.72,3.6,3.4,2.05,L Mason
Southampton,Crystal Palace,1,1,D,0,0,D,12,4,1,2,227000000,232800000,9870000,9310000,25.9,28.8,2,1.8,1.95,3.6,3.8,A Madley
Watford,Aston Villa,3,0,H,1,0,H,6,3,3,1,234000000,261900000,7550000,9700000,27.6,27,1.72,2.1,1.95,3.8,3.6,S Hooper
Norwich,Tottenham,2,2,D,1,0,H,4,6,3,3,152350000,977000000,6350000,36190000,27.6,26.4,1.57,2.37,5,4,1.66,K Friend
West Ham,Leicester,1,2,A,1,1,D,5,5,4,1,338750000,505250000,14110000,19430000,28.7,26.7,1.61,2.3,4,3.9,1.83,D Coote
Burnley,Man United,0,2,A,0,1,A,5,4,4,3,192750000,744250000,8030000,29770000,29.1,25.8,1.9,1.9,4.33,3.75,1.8,M Dean
Arsenal,Chelsea,1,2,A,1,0,H,2,3,5,4,682750000,844250000,27310000,32470000,25.1,26.3,1.53,2.5,2.87,3.75,2.3,C Pawson
Liverpool,Wolves,1,0,H,1,0,H,5,6,1,0,1190000000,330800000,46660000,12720000,27.9,25.4,1.57,2.37,1.25,5.75,12,A Taylor
Man City,Sheffield United,2,0,H,0,0,D,8,5,1,1,1300000000,119200000,52190000,4260000,27.4,28.3,1.4,3,1.16,7.5,16,C Kavanagh
Brighton,Chelsea,1,1,D,0,1,A,5,3,2,3,214750000,844250000,8260000,32470000,27.8,26.3,1.72,2.1,3.6,3.6,1.95,S Attwell
