,HOMETEAM,AWAYTEAM,FTHG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV,HOMETEAM_n,AWAYTEAM_n,HTR_n
59,Chelsea,Liverpool,1,A,0,2,A,6,4,3,3,844250000,1190000000,32470000,46660000,26.3,27.9,1.57,2.37,3.5,3.75,2.0,M Oliver,5,9,0
60,Sheffield United,Liverpool,0,A,0,0,D,6,5,1,1,119200000,1190000000,4260000,46660000,28.3,27.9,1.61,2.3,9.0,5.25,1.33,A Taylor,14,9,1
61,Aston Villa,Burnley,2,D,1,0,H,7,3,1,4,261900000,192750000,9700000,8030000,27.0,29.1,1.9,1.9,2.3,3.4,3.1,L Mason,1,4,2
62,Bournemouth,West Ham,2,D,1,1,D,6,6,3,1,343750000,338750000,11460000,14110000,26.0,28.7,1.57,2.37,2.5,3.5,2.75,S Attwell,2,18,1
63,Chelsea,Brighton,2,H,0,0,D,5,2,2,3,844250000,214750000,32470000,8260000,26.3,27.8,1.66,2.2,1.4,4.75,8.0,C Kavanagh,5,3,1
64,Crystal Palace,Norwich,2,H,1,0,H,5,5,3,1,232800000,152350000,9310000,6350000,28.8,27.6,1.72,2.1,1.9,3.75,3.75,J Moss,6,13,2
65,Tottenham,Southampton,2,H,2,1,H,6,6,0,2,977000000,227000000,36190000,9870000,26.4,25.9,1.57,2.37,1.4,4.75,8.0,G Scott,16,15,2
66,Wolves,Watford,2,H,1,0,H,1,6,0,1,330800000,234000000,12720000,7550000,25.4,27.6,1.9,1.9,1.85,3.4,4.5,P Tierney,19,17,2
67,Everton,Man City,1,A,1,1,D,5,2,2,2,480700000,1300000000,19230000,52190000,27.3,27.4,1.5,2.62,10.0,5.5,1.3,M Oliver,7,10,1
68,Leicester,Newcastle,5,H,1,0,H,9,0,1,1,505250000,293830000,19430000,9180000,26.7,27.3,2.0,1.8,1.5,4.0,7.5,C Pawson,8,12,2
69,Man United,Arsenal,1,D,1,0,H,8,7,4,2,744250000,682750000,29770000,27310000,25.8,25.1,1.61,2.3,2.37,3.5,2.9,K Friend,11,0,2
70,Brighton,Tottenham,3,H,2,0,H,4,4,2,1,214750000,977000000,8260000,36190000,27.8,26.4,1.72,2.1,3.9,3.6,1.9,J Moss,3,16,2
71,Burnley,Everton,1,H,0,0,D,7,9,2,1,192750000,480700000,8030000,19230000,29.1,27.3,2.1,1.72,2.87,3.3,2.5,G Scott,4,7,1
72,Liverpool,Leicester,2,H,1,0,H,4,6,1,4,1190000000,505250000,46660000,19430000,27.9,26.7,1.57,2.37,1.44,4.75,7.0,C Kavanagh,9,8,2
73,Norwich,Aston Villa,1,A,0,2,A,10,6,1,3,152350000,261900000,6350000,9700000,27.6,27.0,1.57,2.37,2.37,3.6,2.8,A Madley,13,1,0
74,Watford,Sheffield United,0,D,0,0,D,7,7,0,2,234000000,119200000,7550000,4260000,27.6,28.3,2.0,1.8,2.05,3.4,3.6,A Marriner,17,14,1
75,West Ham,Crystal Palace,1,A,0,0,D,2,2,3,2,338750000,232800000,14110000,9310000,28.7,28.8,1.8,2.0,1.95,3.6,3.8,M Oliver,18,6,1
76,Arsenal,Bournemouth,1,H,1,0,H,14,5,1,2,682750000,343750000,27310000,11460000,25.1,26.0,1.33,3.4,1.44,4.75,7.0,M Atkinson,0,2,2
77,Man City,Wolves,0,A,0,0,D,9,1,5,2,1300000000,330800000,52190000,12720000,27.4,25.4,1.36,3.2,1.12,9.0,21.0,C Pawson,10,19,1
78,Southampton,Chelsea,1,A,1,3,A,3,4,0,1,227000000,844250000,9870000,32470000,25.9,26.3,1.72,2.1,4.0,3.8,1.85,P Tierney,15,5,0
79,Newcastle,Man United,1,H,0,0,D,4,6,3,3,293830000,744250000,9180000,29770000,27.3,25.8,2.2,1.66,4.5,3.5,1.85,M Dean,12,11,1
80,Everton,West Ham,2,H,1,0,H,11,2,2,2,480700000,338750000,19230000,14110000,27.3,28.7,1.72,2.1,1.95,3.75,3.75,P Tierney,7,18,2
81,Aston Villa,Brighton,2,H,1,1,D,7,5,1,2,261900000,214750000,9700000,8260000,27.0,27.8,1.8,2.0,2.35,3.4,3.0,D Coote,1,3,1
82,Bournemouth,Norwich,0,D,0,0,D,6,7,1,3,343750000,152350000,11460000,6350000,26.0,27.6,1.4,3.0,1.72,4.2,4.2,L Mason,2,13,1
83,Chelsea,Newcastle,1,H,0,0,D,11,0,2,1,844250000,293830000,32470000,9180000,26.3,27.3,1.57,2.37,1.3,5.5,10.0,A Marriner,5,12,1
